id,grupo,asignatura,profesor,dia,hora_inicio,hora_fin,salon
77,6501,INVESTIGACION EN EDUCACION,ALATORRE RICO JAVIER,MARTES,09:00,14:00,A 201
78,6502,INVESTIGACION EN EDUCACION,MORALES GARDUÑO CECILIA,MARTES,08:00,13:00,UDEMAT Edif A
79,6503,INVESTIGACION EN EDUCACION,DELGADO CERVANTES NORMA GEORGINA,MARTES,09:00,14:00,A 205
80,6504,INVESTIGACION EN EDUCACION,RUBIO JIMENEZ ANA LUISA,MARTES,09:00,14:00,Edif C Sala Tut 1
81,6505,INVESTIGACION EN EDUCACION,TORREBLANCA NAVARRO OMAR,MARTES,10:00,15:00,Escenario
82,6506,INVESTIGACION EN EDUCACION,LOPEZ RAMIREZ JOSE LUIS,MARTES,09:00,14:00,AULA PENDIENTE
83,6603,INTEGRACION DE PERSONAL I,VALLE GOMEZ MIRNA ROCIO,MARTES,11:00,14:00,B 17
84,6604,INTEGRACION DE PERSONAL I,RODRIGUEZ RODRIGUEZ CLARA IVONNE,MARTES,11:00,14:00,AULA PENDIENTE
85,6605,ADMINISTRACION DE PERSONAL,MARTINEZ PEREZ ADRIANA GUADALUPE,MARTES,10:00,14:00,A 304
86,6606,CAPACITAC.Y DESARR.DE PERSONAL II,ESLAVA GUEVARA ADELINA,MARTES,17:00,20:00,A 101
87,6607,INTEGRACION DE PERSONAL I,RIVERA GARCIA JORGE LUIS,MARTES,15:00,18:00,A 304
88,6608,CAPACITAC.Y DESARR.DE PERSONAL II,MARTINEZ MEJIA EMMANUEL,MARTES,15:00,18:00,B 07
89,6702,ETICA PROFESIONAL,MERAZ RIOS PATRICIA,MARTES,10:00,12:00,A 109
90,6706,ETICA PROFESIONAL,PROFESOR PENDIENTE,MARTES,12:30,14:30,A 302
91,6706,APORTES DESDE EPISTEM. FEMINIST. PSIC.,COLMENARES VAZQUEZ LIGIA,MARTES,09:30,12:30,A 302
92,6708,ETICA PROFESIONAL,PROFESOR PENDIENTE,MARTES,15:00,17:00,A 107
93,6708,APORTES DESDE EPISTEM. FEMINIST. PSIC.,HERNANDEZ CRESPO TANIA JIMENA,MARTES,17:00,20:00,A 107
94,6709,APORTES DESDE EPISTEM. FEMINIST. PSIC.,CHAPA ROMERO ANA CELIA,MARTES,11:00,14:00,A 301
95,6712,ETICA PROFESIONAL,TREJO MORALES MARTHA PATRICIA,MARTES,18:00,20:00,A 109
96,6712,APORTES DESDE EPISTEM. FEMINIST. PSIC.,NAVARRO CORONA CLAUDIA IVETTE,MARTES,15:00,18:00,A 206
97,6102,"APRENDIZAJE,MOTIVAC.Y COGNIC. II",REYES CONTRERAS RAUL,MIERCOLES,15:00,17:30,URIDES 3 Edif C
98,6102,TALLER DE INVESTIGACION II,ZAMORA AREVALO OSCAR,MIERCOLES,12:00,14:00,AULA PENDIENTE
99,6104,INVESTIGAC.Y ANALISIS DE DATOS II,ROMERO SANCHEZ PATRICIA,MIERCOLES,17:00,19:00,B 12
100,6104,TALLER DE INVESTIGACION II,DURON FIGUEROA RAUL,MIERCOLES,10:00,12:00,AULA PENDIENTE
101,6105,TALLER DE INVESTIGACION II,ORDUÑA TRUJILLO OSCAR VLADIMIR,MIERCOLES,09:00,11:00,AULA PENDIENTE
