0,1,2,3,4,5,6,7,8,9,10
1818,TEMAS SELEC.EN COMPORT.COGNIC. I,,,,,09:00 a 12:00B 07,,AVILA SANTIBANEZ RAUL,"TEMáTICA: HISTORIA Y ESTATUS ACTUAL DE LA INVESTIGACIóN EN CONDICIONAMIENTO PAVLOVIANO; PRE-REQUISITOS, LEER EN INGLéS.",Sem_8_Area_1
1820,PRINC.Y TECNICS D CAMBIO DL COMPOR.,,,10:00 a 13:00A 311,,,,MORALES CHAINE SILVIA,TEMáTICA: ANáLISIS CONDUCTUAL APLICADO; SIN PRE-REQUISITOS.,Sem_8_Area_1
1823,TEMAS SELEC.INTERV.CONDUCTL.I,,,,,08:00 a 10:00A 205,,GUTIERREZ LARA MARIANA,TEMáTICA: INTERVENCIONES BREVES PARA ADOLESCENTES Y ADULTOS; SIN PRE-REQUISITOS.,Sem_8_Area_1
Grupo8201,Sem_8_Area_2,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_8_Area_2
1810,INTERVENCION PSICOSOCIAL COMUNIDAD,,09:00 a 12:00A 312,,,11:00 a 15:00A 308,,HERAZO GONZALEZ KATHERINE ISABEL,"LAS PRáCTICAS SE LLEVARAN A CABO CON POBLACIóN DEL PUEBLO DE LA CANDELARIA, EN COYOACáN, CDMX, ASí COMO A PERSONAS EN SITUACIóN DE MIGRACIóN FORZADA Y DEL MOVIMIENTO AFROMEXICANO.",Sem_8_Area_2
1811,SEMINARIO DE COMUNICACION,,,,17:00 a 20:00A 302,,,RAMOS BELTRAN IGNACIO,,Sem_8_Area_2
1813,COMUNICACION Y CONSTRUC. DE SENTIDO,,,17:30 a 20:30A 303,,,,HUIDOBRO MARQUEZ JUAN CARLOS,,Sem_8_Area_2
1815,EL DELITO: UNA CONSTRUCCION SOCIAL,10:00 a 15:00URIDES 3 Edif C,,,12:00 a 15:00Edif C Salon 3,,,GONZALEZ TAPIA FLOR PATRICIA,LAS PRACTICAS CONSISTEN EN VISITAS A INSTITUCIONES DEL SISTEMA DE JUSTICIA. CONSIDERAR TIEMPOS DE TRASLADO.,Sem_8_Area_2
Grupo8301,Sem_8_Area_3,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_8_Area_3
1865,GENETICA DE LA CONDUCTA,,,,09:00 a 12:00A 304,,,PROFESOR PENDIENTE,LA CLASE SERá IMPARTIDA POR EL DR. VíCTOR HUGO AVILéS ROSAS,Sem_8_Area_3
1866,METODOS EN NEUROPSICOLOGIA,10:00 a 16:00A 109,,,,,,CRUZ PEREZ FELIPE,ALGUNAS CLASES SE IMPARTEN EN ESCENARIO/ESCENARIO MULTINIVEL,Sem_8_Area_3
1867,NEUROPSICOLOGIA BASICA,,,,,07:00 a 10:00A 101,,RAMIREZ FLORES MAURA JAZMIN,,Sem_8_Area_3
1869,INTEROCEPCION Y CONDUCTA I,,,10:00 a 13:00AULA PENDIENTE,,,,RODRIGUEZ ORTIZ MARIA DOLORES,,Sem_8_Area_3
1871,PSICOFISIOLOGIA CLINICA,,,,,11:00 a 14:00B 17,,GALVEZ HERNANDEZ CARMEN LIZETTE,,Sem_8_Area_3
1872,SEMINARIO EN PSICOFISIOLOGIA,,08:00 a 11:00A 204,,,,,DEL RIO PORTILLA IRMA YOLANDA,,Sem_8_Area_3
Grupo8401,Sem_8_Area_4,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_8_Area_4
1827,PRINCIPIOS DEL COMPORTAM.ADICTIVO,12:00 a 14:00A 102,,,,12:00 a 15:00A 102,,MEDINA GUTIERREZ MIGUEL ANGEL,,Sem_8_Area_4
1831,PSICOGERONTOLOGIA,,08:00 a 10:00A 002,,08:00 a 10:00A 106,,,SOSA TORRALBA JANETT ESMERALDA,,Sem_8_Area_4
1835,PSICOPATOLOGIA DEL DESARR.INFANTIL,08:00 a 12:00A 107,12:00 a 14:00A 102,,,,,MANCILLA GOMEZ BLANCA ELENA,,Sem_8_Area_4
Grupo8501,Sem_8_Area_5,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_8_Area_5
1849,DESARROLLO CURRICULAR,,,13:00 a 16:00A 102,,,,FIGUEROA CAMPOS MILAGROS,,Sem_8_Area_5
1850,DISE�O DE MODELOS Y ESTRAT.EDUCAT.,16:00 a 19:00A 102,,,,,,MURIA VILA IRENE DANIELA,,Sem_8_Area_5
1852,ENSE�ANZA DE LA PSICOLOGIA,,16:00 a 19:00A 204,,,,,CARLOS GUZMAN JOSE JESUS,,Sem_8_Area_5
Grupo8601,Sem_8_Area_6,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_8_Area_6
1841,FORMACION DE DIRECTIVOS,,,,,09:00 a 12:00A 113,,RIVERA GARCIA JORGE LUIS,,Sem_8_Area_6
1845,PROCESOS DE MEJORA CONTINUA,,,,09:00 a 12:00A 314,,,REYES DOMINGUEZ DAVID RAUNEL,,Sem_8_Area_6
1847,INVESTIGACION DE MERCADO,,,08:00 a 11:00A 314,,,,ONGAY VALLE MIRNA ROCIO,,Sem_8_Area_6
1848,METROLOGIA PSICOLOGICA,,,,,12:00 a 15:00A 211,,RIVERA GARCIA JORGE LUIS,,Sem_8_Area_6
Grupo8701,Sem_8_Area_7,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_8_Area_7
1800,COMPRENSION DE LA REALIDAD SOC. III,17:00 a 19:00A 109,,,,,,NAVARRO CORONA CLAUDIA IVETTE,,Sem_8_Area_7
Grupo8101,Sem_8_Area_9,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_8_Area_9
1816,"MODELOS DE APRENDIZ,MOTIV.COGNIC.I",,,,,10:00 a 13:00A 311,,PROFESOR PENDIENTE,"TEMáTICA: ECONOMIA CONDUCTUAL, TEORIAS Y APLICACIONES; PRE-REQUISITOS; LECTURA EN INGLéS, LA CLASE LA IMPARTIRA LA PROFESORA CLARA MUñOZ MáRQUEZ",Sem_8_Area_9
1817,TALLER DE INVEST.DOCENCIA SUPERV. I,,08:00 a 15:00AULA PENDIENTE,,,,10:00 a 13:00AULA PENDIENTE,ROJAS RAMIREZ SYLVIA MARGARITA,"TEMáTICA: INVESTIGACIóN EN PROCESOS DE INTERACCIóN SOCIAL, DIáLOGO Y SOLUCIóN COLABORATIVA DE PROBLEMAS ENTRE EDUCANDOS DE PRIMARIA EN ESCENARIOS EDUCATIVOS; PRE-REQUISITOS: HABER CURSADO DACC L, LL O LLL, CON LA DRA. ROJAS EN LOS SEM ANTERIORES.",Sem_8_Area_9
1818,TEMAS SELEC.EN COMPORT.COGNIC. I,,,,,09:00 a 12:00B 07,,AVILA SANTIBANEZ RAUL,"TEMáTICA: HISTORIA Y ESTATUS ACTUAL DE LA INVESTIGACIóN EN CONDICIONAMIENTO PAVLOVIANO; PRE-REQUISITOS, LEER EN INGLéS.",Sem_8_Area_9
1820,PRINC.Y TECNICS D CAMBIO DL COMPOR.,,,10:00 a 13:00A 311,,,,MORALES CHAINE SILVIA,TEMáTICA: ANáLISIS CONDUCTUAL APLICADO; SIN PRE-REQUISITOS.,Sem_8_Area_9
1823,TEMAS SELEC.INTERV.CONDUCTL.I,,,,,08:00 a 10:00A 205,,GUTIERREZ LARA MARIANA,TEMáTICA: INTERVENCIONES BREVES PARA ADOLESCENTES Y ADULTOS; SIN PRE-REQUISITOS.,Sem_8_Area_9
